"","purple","royalblue","black","pink","red","greenyellow","salmon","turquoise","green","lightgreen","midnightblue","lightyellow","yellow","tan","lightcyan","blue","brown","grey60","cyan","magenta"
"Astrocyte",1,1,7.41964857085796e-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,3.09106325127867e-10,1,1,1,1.47038129517703e-05,1,1,1,1,1,1,1,1,1,1,1,1
"CA1.Pyramidal",1,1,1,3.09106325127867e-10,1,1,1,1.47038129517703e-05,1,1,1,1,1,1,1,1,1,1,1,1
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,4.57641579751675e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,4.09493460242814e-17,1,1,1,1.72684633016076e-19,1,1,1,1,1,1,1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,2.78485490230912e-55,1,1,1,1,1,1,1
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,0.000925427871236023,1,1,1,5.84464608554226e-54,1,1,1,1,1,1,1
"Cerebellum_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.37938894803797e-22,1,1,1,1,1
"Cerebellum_Purkinje_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Endothelial_Neuroexpresso",1,1,1,1,1,1,1,1,0.000124978968232986,1,1,1,1,1,1,1,1,1,4.23803466055635e-56,1
"Cortex_GabaPV_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaRelnCalb_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaVIPReln_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,2.42963924966451e-12,1,1,1,1.78207691255582e-26,1,1,1,1,1,1,1
"Cortex_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1.08263062179921e-71,1,1,1,1,1,1,1
"Cortex_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1.53408946619217e-61,1,1,1,1,1,1,1
"Cortex_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.95647410369068e-57,1,1,1,1,1
"Cortex_OligoPrecursors_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00697412843358973,1,1,1,1,1
"Cortex_Pyramidal_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cytotoxiccells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DAMANIS_MICROGLIA",1,1,1,1,1,1,1,1,1,1,1,1,1.78818588916341e-23,1,1,1,1,1,1,1
"DARMANIS_ASTROCYES",1,1,5.16952003586805e-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_ENDOTHELIAL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.24397941922981e-11,1
"DARMANIS_FETAL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_FETAL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUASTRO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUOLIGOPC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_NEUROND",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_OLIGO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.32067491903738e-25,1,1,1,1,1
"DARMANIS_OPCS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dopaminergic_Neuron_SN",1,1,1,1,1,1,1,1,1,1,1,0.000561051907839964,1,1,1,1,1,1,1,1
"Dopaminergic_Neuron",1,1,1,1,1,1,1,1,1,0.0175879875116402,1,1,1,1,1,1,1,1,1,1
"DopaminergicNeuron",1,1,1,1,1,1,1,1,1,0.0175879875116402,1,0.000561051907839964,1,1,1,1,1,1,1,1
"Dopaminergic_Neuron_VTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dopaminergic",1,1,1,1,1,1,1,1,1,0.0175879875116402,1,0.000561051907839964,1,1,1,1,1,1,1,1
"Endothelial",1,1,1,1,1,1,1,1,0.015878618145234,1,1,1,1,1,1,1,1,1,1.4704551142025e-44,1
"Eosinophils",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ependymal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex1",1,1,1,3.70686226162155e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GABASST_HIPPD_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00564616155470741
"Hippocampus_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_DentateGranule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_GabaSSTRein_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00564616155470741
"Hippocampus_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,8.80373928646323e-21,1,1,1,9.79323795292336e-22,1,1,1,1,1,1,1
"Hippocampus_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,3.69505521389695e-52,1,1,1,1,1,1,1
"Hippocampus_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.72444576976505e-28,1,1,1,1,1
"Hippocampus_Pyramidal_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hyppocampus_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,0.0308714568079419,1,1,1,2.40823497021564e-50,1,1,1,1,1,1,1
"iDC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Interneuron",1,1,1,9.38823290241487e-07,1,1,1,1,1,1,1,0.00126439646503519,1,1,1,1,1,1,1,1
"Macrophages",1,1,1,1,1,1,1,1,1,1,1,1,0.00332510166584063,1,1,1,1,1,1,1
"Mastcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia",1,1,1,1,1,1,1,1,1,1,1,1,2.33873267896517e-120,1,1,1,1,1,1,1
"Mural",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.91721649787767e-05,1
"NaturalKillers",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpress0_Cortex_Layer.2.3.Pyra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_Endothelial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_GabaPV",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_GabaRelnCalb",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_GabaVIPReln",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_Layer6bPyra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_PyramidalCorticoThalam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_Pyramidal_Glt_25d2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_CortexD_Pyramidal_S100a10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_Cortex_Laye.6aPyra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuroexpresso_Cortex_Layer4Pyra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic_SNigra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic_VTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.Ex8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron.In8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Interneuron",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Interneuton",1,1,1,9.38823290241487e-07,1,1,1,1,1,1,1,0.00126439646503519,1,1,1,1,1,1,1,1
"Neuron_Pyramidal_CA1",1,1,1,3.09106325127867e-10,1,1,1,1.47038129517703e-05,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Pyramidal_S1",1,1,1,1,1,1,1,1,1,1,1,0.00654388170411065,1,1,1,1,1,1,1,1
"Neutrophils",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.11774070125672e-70,1,1,1,1,1
"Pyramidal_CA1",1,1,1,3.09106325127867e-10,1,1,1,1.47038129517703e-05,1,1,1,1,1,1,1,1,1,1,1,1
"Pyramidal_S1",1,1,1,1,1,1,1,1,1,1,1,0.00654388170411065,1,1,1,1,1,1,1,1
"PyramidalThy_HIPPD_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S1_Pyramidal",1,1,1,1,1,1,1,1,1,1,1,0.00654388170411065,1,1,1,1,1,1,1,1
"S1.Pyramidal",1,1,1,1,1,1,1,1,1,1,1,0.00654388170411065,1,1,1,1,1,1,1,1
"SN_DopaminergicNeuron",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SN_Dopaminergic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tcm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tem",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tfh",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Th1cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Th2cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Thelpercells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"VTA_DopaminergicNeuron",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"VTA_Dopaminergic",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
